,sentence,sentence_annotation,intent,action,scenario,labels
1299,do you know about this lyrics,do you know about this lyrics,music_query,query,music,41
1300,what meetings are available in march,what [event_name : meetings] are available in [date : march],calendar_query,query,calendar,6
1301,address the situation,address the situation,general_quirky,quirky,general,21
1302,olly remind me about the picnic at regent park,olly remind me about the [event_name : picnic] at [place_name : regent park],calendar_set,set,calendar,8
1303,please play back some important points summary,please play back some important points summary,play_audiobook,audiobook,play,44
1304,when is the wedding scheduled,when is the [event_name : wedding] scheduled,calendar_query,query,calendar,6
1305,send a reply to my friend for his question,send a reply to my [relation : friend] for his question,email_sendemail,sendemail,email,17
1306,temperature now,[weather_descriptor : temperature] now,weather_query,query,weather,70
1307,what does the shirt look like,what does the [definition_word : shirt] look like,qa_definition,definition,qa,52
1308,increase volume please,increase volume please,audio_volume_up,volume_up,audio,5
1309,what kind of implement is a broiler and how do i use it,what kind of implement is a broiler and how do i use it,general_quirky,quirky,general,21
1310,google find the new email address for bill that i added friday,google find the new email address for [person : bill] that i added [date : friday],email_query,query,email,15
1311,play hurts like heaven,play [song_name : hurts like heaven],play_music,music,play,46
1312,play music,play music,play_music,music,play,46
1313,how did paris hilton become famous,how did [person : paris hilton] become famous,qa_factoid,factoid,qa,53
1314,i would like this new email should be added to my contacts,i would like this new email should be added to my contacts,email_sendemail,sendemail,email,17
1315,the list should not contain all food items with the prefix dry,the list should not contain all food items with the prefix dry,lists_remove,remove,lists,37
1316,did the yankees win last night,did the yankees win [date : last night],news_query,query,news,43
1317,how is the news in ireland,how is the news in [place_name : ireland],news_query,query,news,43
1318,will it be raining tomorrow,will it be [weather_descriptor : raining] [date : tomorrow],query,query,weather,56
1319,email me the lyrics to this song,email me the lyrics to this song,music_query,query,music,41
1320,do i have any meetings tomorrow at nine pm,do i have any [event_name : meetings] [date : tomorrow] at [time : nine pm],calendar_query,query,calendar,6
1321,volume up,volume up,audio_volume_up,volume_up,audio,5
1322,notify me with all events in the next one week,notify me with all events in the [time : next one week],calendar_set,set,calendar,8
1323,can you tell me what the items on my grocery list are,can you tell me what the items on my [list_name : grocery] list are,lists_query,query,lists,36
1324,ok google what's the weather like,ok google what's the weather like,weather_query,query,weather,70
1325,prepare coffee,prepare coffee,iot_coffee,coffee,iot,26
1326,reply with thanks,reply with thanks,email_sendemail,sendemail,email,17
1327,delete the birthday party tomorrow at two pm,delete the [event_name : birthday party] [date : tomorrow] at [time : two pm],calendar_remove,remove,calendar,7
1328,get me the most recent news,get me the most recent news,news_query,query,news,43
1329,please set a reminder for me to go to work in ten minutes,please set a reminder for me to [event_name : go to work] in [time : ten minutes],calendar_set,set,calendar,8
1330,check my mail,check my mail,email_query,query,email,15
1331,i want to read yahoo news,i want to read [media_type : yahoo news],news_query,query,news,43
1332,what is weather today,what is weather [date : today],weather_query,query,weather,70
1333,are there any reminders set for today,are there any reminders set for [date : today],calendar_query,query,calendar,6
1334,tell them that their lines were too long,tell them that their lines were too long,social_post,post,social,62
1335,check emails for last two hours,check emails for [time : last two hours],email_query,query,email,15
1336,play me something pop,play me something [music_genre : pop],play_music,music,play,46
1337,can i see my work lists,can i see my work lists,lists_query,query,lists,36
1338,bing up my list,bing up my list,lists_query,query,lists,36
1339,where can i get organic wheat,where can i get organic wheat,recommendation_locations,locations,recommendation,59
1340,set an alarm for tomorrow morning at eight,set an alarm for [date : tomorrow] [timeofday : morning] at [time : eight],alarm_set,set,alarm,2
1341,much more clearer and subject oriented,much more clearer and subject oriented,play_podcasts,podcasts,play,47
1342,find me some celebrities that are capricorns,find me some celebrities that are capricorns,qa_factoid,factoid,qa,53
1343,completely clear my calendar please,completely clear my calendar please,calendar_remove,remove,calendar,7
1344,restaurant order status,[business_type : restaurant] order status,takeaway_query,query,takeaway,65
1345,radio on,radio on,play_radio,radio,play,48
1346,your recipe of steak was superb,your recipe of [food_type : steak] was superb,cooking_recipe,recipe,cooking,11
1347,what does tense mean,what does [definition_word : tense] mean,qa_definition,definition,qa,52
1348,can you able to say the word demonetisation,can you able to say the word [definition_word : demonetisation],qa_definition,definition,qa,52
1349,music on,music on,play_music,music,play,46
1350,when does iphone stock usually drop,when does iphone stock usually drop,qa_stock,stock,qa,55
1351,play a song that will make me smile,play a song that will make me smile,play_music,music,play,46
1352,play this program,play this program,play_radio,radio,play,48
1353,what is that on the list,what is that on the list,lists_query,query,lists,36
1354,give me the time in london,give me the time in [place_name : london],datetime_query,query,datetime,13
1355,i need to buy a train ticket,i need to buy a [transport_type : train] ticket,transport_ticket,ticket,transport,68
1356,what is my schedule for june fourteenth two thousand and seventeen,what is my schedule for [date : june fourteenth two thousand and seventeen],calendar_query,query,calendar,6
1357,get the roomba to clean the kitchen,get the [device_type : roomba] to clean the [house_place : kitchen],iot_cleaning,cleaning,iot,25
1358,i'm unhappy with tesco please help me,i'm unhappy with [business_name : tesco] please help me,social_post,post,social,62
1359,open my music,open my music,play_music,music,play,46
1360,add a lot of james taylor joni mitchell and cat stevens to the playlist,add a lot of [artist_name : james taylor] [artist_name : joni mitchell] and [artist_name : cat stevens] to the playlist,play_music,music,play,46
